playerShort,weight,yellowCards,player,skin_colour,club,birthday,defeats,yellowReds,ties,goals,position,games,leagueCountry,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
dani-abalo,68.0,22, Dani Abalo,0.125,Celta Vigo,29.09.1987,51,1,50,18,Defensive Midfielder,169,Spain,0,68,174.0,55.09713905522289,0.06153755859572036,0.0007658252467643313,0.0,0.0868841832798798,0.11362467410437657,0.0012180068561998838,0.0,0.153937216394239
dani-alves,64.0,146, Dani Alves,0.375,FC Barcelona,06.05.1983,101,8,110,39,Right Fullback,586,Spain,2,375,173.0,473.3888179169247,,,,,,,,
dani-benitez,68.0,36, Dani Benítez,0.25,Granada CF,07.04.1987,47,1,34,12,,123,Spain,3,42,181.0,163.01469726793528,0.10832598115481465,0.0021505441522510003,0.0120430472526056,0.5565207038079402,0.17228706980947353,0.003420333206654325,0.01915386595726422,0.8851184205785927
dani-carvajal,73.0,18, Dani Carvajal,0.0,Bayer Leverkusen,11.01.1992,12,0,14,4,Right Fullback,90,Germany,0,64,171.0,18.0,0.07508021597919837,0.0,0.0,0.07508021597919837,0.1016873295246127,0.0,0.0,0.1016873295246127
dani-estrada,74.0,26, Dani Estrada,0.25,Real Sociedad,03.01.1987,45,2,33,3,Right Midfielder,130,Spain,0,52,179.0,92.19427811044578,0.08635254026202908,0.003698935941871721,0.0,0.2087767374865192,0.1373394080879584,0.005882973115445439,0.0,0.33204898734799393
dani-gimenez,77.0,8, Dani Giménez,0.0,Rayo Vallecano,30.06.1983,34,0,21,0,Goalkeeper,86,Spain,1,31,182.0,39.3058527375708,0.0314535369206779,0.0,0.0018872122152406737,0.0905343246155472,0.0500252815939238,0.0,0.003001516895635428,0.14399032751801716
dani-hernandez,85.0,2,Dani Hernández,0.25,Real Valladolid,21.10.1985,21,0,25,0,Goalkeeper,68,Spain,0,22,196.0,2.0,0.011106027681209168,0.0,0.0,0.011106027681209168,0.01638119399051133,0.0,0.0,0.01638119399051133
dani-pacheco,65.0,13, Dani Pacheco,0.0,Liverpool FC,05.01.1991,39,0,17,17,,97,England,0,41,168.0,13.0,0.052176232751031906,0.0,0.0,0.052176232751031906,0.08041064363647586,0.0,0.0,0.08041064363647586
dani-schahin,82.0,21,Dani Schahin,0.375,Fortuna Düsseldorf,09.07.1989,60,2,28,36,Center Forward,145,Germany,1,57,187.0,118.50013084801658,0.05552926101713261,0.0032368092561800097,0.004315745674906679,0.29776648561559155,0.05542017968654539,0.0032304508884644333,0.004307267851285911,0.29718155500675064
daniel-agger,75.0,23,Daniel Agger,0.25,Liverpool FC,12.12.1984,74,0,67,23,Center Back,302,England,1,161,187.0,54.3058527375708,0.02569578430329726,0.0,0.00015468261540091098,0.03053825548210048,0.03850254379618827,0.0,0.00016877157304996402,0.04378608180837862
daniel-baier,73.0,44,Daniel Baier,0.0,FC Augsburg,18.05.1984,112,1,76,8,Attacking Midfielder,298,Germany,1,110,174.0,108.4029917927937,0.0456336185517049,0.0010018695316747648,0.00042937265643204205,0.09223451090853672,0.045543976158848386,0.0009999014654770864,0.0004285291994901799,0.09205332601625334
daniel-batz,84.0,2,Daniel Batz,0.0,SC Freiburg,12.01.1991,15,0,18,0,Goalkeeper,62,Germany,0,29,189.0,2.0,0.01346512650570884,0.0,0.0,0.01346512650570884,0.013438675696012042,0.0,0.0,0.013438675696012042
daniel-braaten,85.0,29,Daniel Braaten,0.5,Toulouse FC,25.05.1982,92,0,72,22,Right Winger,269,France,0,105,184.0,29.0,0.04545299615433931,0.0,0.0,0.04545299615433931,0.07494896619214456,0.0,0.0,0.07494896619214456
daniel-caligiuri,79.0,34,Daniel Caligiuri,0.25,SC Freiburg,15.01.1988,65,0,42,37,Attacking Midfielder,196,Germany,2,89,182.0,96.6117054751416,0.061784351270338586,0.0,0.005167537584427735,0.22355852190429557,0.06166298247985609,0.0,0.005157386506144971,0.22311936495196535
daniel-congre,79.0,26,Daniel Congré,0.375,Montpellier HSC,05.04.1985,100,0,87,7,Center Back,287,France,3,100,184.0,119.9175582127124,0.031523821080554376,0.0,0.0034691167364819435,0.1401274787623003,0.049410833833796804,0.0,0.003483805139229502,0.15847432448890797
daniel-didavi,77.0,13,Daniel Didavi,0.625,VfB Stuttgart,21.02.1990,56,1,25,26,Left Midfielder,131,Germany,0,50,179.0,46.09713905522289,0.032059825013592474,0.004371794320035338,0.0,0.17675370954463565,0.031996846895266766,0.004363206394809104,0.0,0.17640649567090141
daniel-schwaab,76.0,40,Daniel Schwaab,0.0,Bayer Leverkusen,23.08.1988,74,0,69,7,Right Fullback,284,Germany,1,141,186.0,71.3058527375708,0.04455172266409551,0.0,0.0002795914972115623,0.053304572902477615,0.056657350311315094,0.0,0.000279042269435466,0.06539300650581935
daniel-sturridge,76.0,10,Daniel Sturridge,0.75,Chelsea FC,01.09.1989,63,0,47,81,Center Forward,216,England,1,106,188.0,41.3058527375708,0.01463472445441015,0.0,0.0009899687385658306,0.04562653999875077,0.018198107249354428,0.0,0.0010801380675197697,0.05201275052737264
daniel-van-buyten,95.0,42,Daniel Van Buyten,0.25,Bayern München,07.02.1978,123,1,88,60,Center Back,477,Germany,4,266,197.0,200.3205500055061,0.029124979813675924,0.00014478630651299827,0.005474759146545399,0.20530899594904783,0.036475778853705634,0.00014450188920443055,0.0076138504390525705,0.27961645858531553
daniel-wass,74.0,15,Daniel Wass,0.0,Évian Thonon Gaillard,31.05.1989,73,0,54,23,Right Fullback,216,France,0,89,181.0,15.0,0.022703059255269175,0.0,0.0,0.022703059255269175,0.034759619539091374,0.0,0.0,0.034759619539091374
daniel-williams,75.0,37,Daniel Williams,0.5,1899 Hoffenheim,08.03.1989,69,0,41,8,Defensive Midfielder,183,Germany,1,73,184.0,68.3058527375708,0.0646775138612486,0.0,0.0030883317673644126,0.16136037337512063,0.0660378073609744,0.0,0.00308226506789267,0.16253074367458104
danijel-aleksic,77.0,8,Danijel Aleksić,0.25,AS Saint-Étienne,30.04.1991,19,1,13,8,Center Forward,48,France,0,16,181.0,41.09713905522289,0.05692920633580248,0.007828561921923743,0.0,0.31603220886813566,0.061491024746443045,0.007813183544193048,0.0,0.3200850469725795
danny-guthrie,73.0,33,Danny Guthrie,0.0,Reading FC,18.04.1987,75,1,58,15,,215,England,1,82,175.0,97.4029917927937,0.05335810712496909,0.004475201146941425,0.0004068364679037659,0.21421082433785107,0.0578199465661586,0.004882815921664713,0.0004438923565149739,0.23332361285094286
danny-rose,74.0,22,Danny Rose,0.75,Sunderland AFC,02.07.1990,46,1,34,5,Left Fullback,145,England,2,65,173.0,117.70884453036449,0.04572809362896003,0.00460658801133365,0.0017678013188675542,0.25353550536794367,0.0595171464915777,0.002364687335785598,0.0019288179777138745,0.19816482363408783
danny-simpson,74.0,31,Danny Simpson,0.375,Newcastle United,04.01.1987,55,0,58,3,,225,England,0,112,173.0,31.0,0.03871737256352991,0.0,0.0,0.03871737256352991,0.042243867256656034,0.0,0.0,0.042243867256656034
danny-welbeck,73.0,12,Danny Welbeck,0.875,Manchester United,26.11.1990,56,0,38,51,Center Forward,209,England,0,115,185.0,12.0,0.02302859287271571,0.0,0.0,0.02302859287271571,0.03452330642556861,0.0,0.0,0.03452330642556861
danny-wilson_2,76.03452685421995,5,Danny Wilson,0.0,Bristol City,27.12.1991,35,1,25,5,Center Back,96,England,0,36,187.0,38.09713905522289,0.021908330271377553,0.0009899687385658304,0.0,0.05467346327201443,0.027914575590197523,0.0010801380675197697,0.0,0.06366405540973907
dante,87.0,58, Dante,0.5,Bayern München,18.10.1983,70,3,65,19,Center Back,318,Germany,2,183,188.0,219.90312264081027,0.07655235055520715,0.001622800812147568,0.0035681016058413777,0.24196487811894404,0.11010591457588145,0.002381550839166385,0.004616083314200163,0.3334388583255621
dariusz-dudka,80.0,24,Dariusz Dudka,0.25,Levante UD,09.12.1983,80,3,63,9,Defensive Midfielder,232,Spain,1,89,183.0,154.59726990323946,0.026960851802172486,0.004942180916592461,0.0029478948250485112,0.2828192621135177,0.04648635274181136,0.011104723509849436,0.004044391629237244,0.5406340596750661
darren-bent,73.0,16,Darren Bent,1.0,Aston Villa,06.02.1984,171,0,118,190,Center Forward,466,England,0,177,180.0,16.0,,,,,,,,
darren-fletcher,83.0,30,Darren Fletcher,0.0,Manchester United,01.02.1984,75,3,67,27,Center Midfielder,388,England,1,246,183.0,160.59726990323946,0.0226881914243543,0.0019723611857650858,0.0012259499113693808,0.12634711124571346,0.037911684005380905,0.0021520097722779086,0.0016819533442224727,0.16179203439235484
darron-gibson,83.0,30,Darron Gibson,0.375,Everton FC,25.10.1987,31,0,34,14,Attacking Midfielder,148,England,1,83,180.0,61.3058527375708,0.06646742203835904,0.0,0.0013612070155280167,0.1090811684118274,0.08745358044877838,0.0,0.0014851898428396835,0.1339487149560534
darwin-machis,70.0,17,Darwin Machís,0.625,Granada CF,07.02.1993,25,0,21,19,,76,Spain,0,30,174.0,17.0,0.08675443853897462,0.0,0.0,0.08675443853897462,0.16634199778404082,0.0,0.0,0.16634199778404082
david-abraham,85.0,52,David Abraham,0.0,Getafe CF,15.07.1986,74,1,52,15,Center Back,255,Spain,2,129,187.0,147.7088445303645,0.06840999867679856,0.0013454674087377907,0.0009637327082349015,0.14311159484044575,0.09218645705977309,0.0022446379793971023,0.0013433256551145252,0.20853150753012964
david-alaba,75.0,11,David Alaba,0.75,Bayern München,24.06.1992,65,0,38,27,Left Fullback,258,Germany,0,155,180.0,11.0,0.013072815782151215,0.0,0.0,0.013072815782151215,0.017697545477286667,0.0,0.0,0.017697545477286667
david-bellion,72.0,8,David Bellion,0.5,Girondins Bordeaux,27.11.1982,97,0,55,47,Center Forward,263,France,0,111,181.0,8.0,0.007838871550394977,0.0,0.0,0.007838871550394977,0.007872061699693714,0.0,0.0,0.007872061699693714
david-cobeno,82.0,17, David Cobeño,0.0,Rayo Vallecano,06.04.1982,52,0,45,1,Goalkeeper,157,Spain,1,60,189.0,48.3058527375708,0.03191333044220926,0.0,0.006725338076130401,0.2424557738639253,0.05075656025576952,0.0,0.010696314755355344,0.3856138148216295
david-ducourtioux,71.0,41,David Ducourtioux,0.0,Valenciennes FC,11.04.1978,111,0,84,7,Right Fullback,276,France,0,81,177.0,41.0,0.05475432003342308,0.0,0.0,0.05475432003342308,0.05498615238900857,0.0,0.0,0.05498615238900857
david-gigliotti,74.0,33,David Gigliotti,0.25,AC Ajaccio,30.05.1985,62,3,38,23,,135,France,1,35,176.0,163.59726990323946,0.08573692393543714,0.010329749871739412,0.0020659499743478824,0.49229841750619024,0.08609993808709628,0.010373486516517625,0.0020746973033035246,0.4943828320640151
david-hoilett,70.0,16,David Hoilett,0.875,Queens Park Rangers,05.06.1990,90,0,46,28,Right Midfielder,197,England,0,61,173.0,16.0,0.03216282417548646,0.0,0.0,0.03216282417548646,0.03380508999159537,0.0,0.0,0.03380508999159537
david-jones,66.0,37,David Jones,0.125,Wigan Athletic,04.11.1984,86,0,73,28,Defensive Midfielder,264,England,0,105,180.0,37.0,0.0506796955465806,0.0,0.0,0.0506796955465806,0.05657183450742834,0.0,0.0,0.05657183450742834
david-luiz,73.0,70, David Luiz,0.0,Chelsea FC,22.04.1987,61,0,47,17,Center Back,291,England,0,183,185.0,70.0,,,,,,,,
david-navarro,82.0,74, David Navarro,0.0,Levante UD,25.05.1980,74,5,73,12,Center Back,276,Spain,2,129,188.0,302.09740075125603,0.07618155538565406,0.0028522639162160187,0.0016513106883355895,0.22227902007586084,0.1197199155705305,0.004536383489994454,0.0026263272836809996,0.35208064593027594
david-rozehnal,77.0,41,David Rozehnal,0.25,Lille OSC,05.07.1980,112,1,97,7,Center Back,390,France,1,181,199.0,105.4029917927937,0.042040351040843874,0.0004666995481810343,0.00048089737520388715,0.07254167329401848,0.05766988364444453,0.0005092079461164629,0.0004799527034290015,0.08954853849963285
david-sauget,69.0,18,David Sauget,0.0,FC Sochaux,23.11.1979,98,0,55,3,Left Fullback,224,France,1,71,175.0,49.3058527375708,0.023752725841578722,0.0,0.0006524052550572261,0.04417682868161757,0.028273394366104113,0.0,0.0006551675694642709,0.04878397381418476
david-silva_2,67.0,44, David Silva,0.25,Manchester City,08.01.1986,98,1,77,82,Attacking Midfielder,450,England,2,275,170.0,139.7088445303645,0.02775647179516924,0.002554838899575244,0.003137350247558711,0.21053175495435805,0.043851777148937954,0.00256565620713871,0.004989799080106394,0.2849775725963806
david-stockdale,84.0,4,David Stockdale,0.0,Fulham FC,28.09.1985,44,0,21,0,Goalkeeper,108,England,0,43,191.0,4.0,0.014328494900294914,0.0,0.0,0.014328494900294914,0.0156335772930493,0.0,0.0,0.0156335772930493
david-villa,69.0,62, David Villa,0.25,FC Barcelona,03.12.1981,107,2,107,281,Center Forward,554,Spain,5,340,175.0,284.7235417982998,,,,,,,,
david-yelldell,88.0,7,David Yelldell,0.75,Bayer Leverkusen,01.10.1981,82,0,51,0,Goalkeeper,211,Germany,1,78,194.0,38.3058527375708,0.009983186016890822,0.0,0.004261115982819253,0.1433810554727396,0.009963575109159017,0.0,0.004252745473421532,0.1430993986304643
davide-santon,77.0,13,Davide Santon,0.125,Newcastle United,02.01.1991,53,0,38,1,Left Fullback,171,England,0,80,187.0,13.0,0.03120047430348411,0.0,0.0,0.03120047430348411,0.04004170955008966,0.0,0.0,0.04004170955008966
dawda-bah,74.0,14,Dawda Bah,1.0,FC Augsburg,12.11.1983,29,0,21,23,Left Winger,112,Germany,1,62,182.0,45.3058527375708,,,,,,,,
de-gea,82.0,6, De Gea,0.0,Manchester United,07.11.1990,66,0,46,0,Goalkeeper,248,England,0,136,190.0,6.0,0.011739263191725259,0.0,0.0,0.011739263191725259,0.023777162305031446,0.0,0.0,0.023777162305031446
de-la-bella,82.0,34, De la Bella,0.25,Real Sociedad,02.12.1985,71,0,45,6,Left Fullback,174,Spain,0,58,182.0,34.0,0.07165115710530424,0.0,0.0,0.07165115710530424,0.11395759147095841,0.0,0.0,0.11395759147095841
de-lucas,68.0,81, De Lucas,0.375,Celta Vigo,17.08.1978,134,1,97,63,Attacking Midfielder,371,Spain,3,140,175.0,208.01469726793528,0.07786154705072657,0.00044034951688949055,0.001291691916209172,0.13287337315527326,0.11471578175587537,0.0007003539423149332,0.0020543715641238042,0.20220934722725908
de-marcos,76.0,38, De Marcos,0.125,Athletic Bilbao,14.04.1989,70,0,53,27,Right Winger,206,Spain,1,83,180.0,69.3058527375708,0.06458807366970833,0.0,0.0005520799913241374,0.0818714085774611,0.10528066485626603,0.0,0.0008780556888724535,0.13276894694749336
dean-parrett,72.0,7,Dean Parrett,0.125,Tottenham Hotspur,16.11.1991,25,1,15,4,Center Midfielder,58,England,0,18,178.0,40.09713905522289,0.044771031148204195,0.00695084433461115,0.0,0.27482409264203767,0.06651826204594355,0.0075839481336494475,0.0,0.3175252480129374
dean-whitehead,80.0,77,Dean Whitehead,0.125,Stoke City,12.01.1982,161,3,89,20,Attacking Midfielder,401,England,0,151,183.0,176.29141716566866,0.07303380317705582,0.001743694937246633,0.0,0.13074511698499583,0.08828449765889518,0.0019025159143814128,0.0,0.15125233143195133
dejan-lovren,84.0,39,Dejan Lovren,0.0,Olympique Lyon,05.07.1989,54,5,49,12,Center Back,213,France,2,110,188.0,267.09740075125603,0.0655459431771621,0.005483875594727816,0.0009772890040378797,0.2776414019398688,0.08543317440916222,0.005925807753137978,0.000981426891454902,0.31228486336586675
demba-ba,82.0,15,Demba Ba,1.0,Newcastle United,25.05.1985,71,0,60,98,Center Forward,245,England,1,114,190.0,46.3058527375708,0.030575727951688385,0.0,0.0045913892671163165,0.17431308420889494,0.03422167086423441,0.0,0.00719981566054343,0.25961803967086305
denis-cheryshev,74.0,8,Denis Cheryshev,0.0,Real Madrid,26.12.1990,23,1,10,15,,53,Spain,1,20,179.0,72.40299179279369,0.054195096827205406,0.010274822060754779,0.0051374110303773896,0.5550933445090447,0.08067343000948288,0.01634159198734844,0.00817079599367422,0.877327108525169
denis-suarez,76.03452685421995,6, Denís Suárez,0.0,Manchester City,06.01.1994,15,0,7,9,Center Midfielder,46,England,0,24,181.0,6.0,0.043750855226439705,0.0,0.0,0.043750855226439705,0.0695835529783869,0.0,0.0,0.0695835529783869
dennis-aogo,85.0,50,Dennis Aogo,0.5,Hamburger SV,14.01.1987,102,0,77,20,Left Fullback,320,Germany,0,141,184.0,50.0,0.05652527986173033,0.0,0.0,0.05652527986173033,0.06574778864996389,0.0,0.0,0.06574778864996389
dennis-diekmeier,79.0,24,Dennis Diekmeier,0.25,Hamburger SV,20.10.1989,73,0,39,2,Right Fullback,167,Germany,0,55,188.0,24.0,0.037542610733658,0.0,0.0,0.037542610733658,0.03746886226559751,0.0,0.0,0.03746886226559751
didier-digard,81.0,24,Didier Digard,0.0,OGC Nice,12.07.1986,76,0,51,5,Defensive Midfielder,194,France,2,67,184.0,86.6117054751416,0.0384124005648081,0.0,0.0032264464171770117,0.13941905696661458,0.041350275614024684,0.0,0.003472670122201297,0.15006517506582048
didier-ya-konan,74.0,26,Didier Ya Konan,1.0,Hannover 96,22.05.1984,74,1,50,60,Center Forward,223,Germany,1,99,174.0,90.40299179279369,0.027297858584408082,0.0035434543436075896,0.0005062077633725127,0.160423325425377,0.04283073602445221,0.003536493604213695,0.0005052133720305278,0.17569469203685856
diego,73.0,83, Diego,0.25,VfL Wolfsburg,28.02.1985,117,1,86,109,Attacking Midfielder,400,Germany,1,197,173.0,147.4029917927937,0.07004669061360794,0.0012073080828435437,0.0003790857687418029,0.12187273736511489,0.10010604726995215,0.0015184732604945372,0.000378341095045384,0.16220745853023963
diego-alves,85.0,25, Diego Alves,0.375,Valencia CF,24.06.1985,90,0,62,0,Goalkeeper,234,Spain,1,82,188.0,56.3058527375708,,,,,,,,
diego-benaglio,89.0,20,Diego Benaglio,0.25,VfL Wolfsburg,08.09.1983,127,0,87,0,Goalkeeper,371,Germany,2,157,194.0,82.6117054751416,0.02322236172655458,0.0,0.0010557334849906124,0.056272998737793116,0.03234680781682095,0.0,0.0010536596087823062,0.06533252036488629
diego-buonanotte,60.0,48,Diego Buonanotte,0.25,Málaga CF,19.04.1988,76,0,52,33,Attacking Midfielder,193,Spain,1,65,161.0,79.3058527375708,0.10106240316561527,0.0,0.003416167068989695,0.2080084263543455,0.1725683483649052,0.0,0.005899738121960343,0.3572646812012282
diego-castro,67.0,30, Diego Castro,0.25,Getafe CF,02.07.1982,89,1,48,38,Left Winger,200,Spain,0,63,174.0,63.09713905522289,0.03942513891423879,0.0010508340743953751,0.0,0.07420474039846896,0.06270371694725936,0.0016712991805242724,0.0,0.1180189383279513
diego-colotto,83.0,76,Diego Colotto,0.25,Espanyol Barcelona,10.03.1981,128,6,101,31,Center Back,365,Spain,4,136,184.0,399.80624528162053,0.06953176371016861,0.005951439833566264,0.004223935171716667,0.39874128791931157,0.1156446486893277,0.009581762825259906,0.006717958203952951,0.6430849955412267
diego-contento,74.0,5,Diego Contento,0.25,Bayern München,01.05.1990,25,0,23,7,Left Fullback,127,Germany,0,79,177.0,5.0,0.017365738549029258,0.0,0.0,0.017365738549029258,0.017331625401602834,0.0,0.0,0.017331625401602834
diego-costa,81.0,68, Diego Costa,0.25,Atlético Madrid,07.10.1988,66,1,53,93,Center Forward,232,Spain,4,113,189.0,226.3205500055061,0.11101999964667567,0.002533517768405288,0.008071429941020397,0.4475551866416679,0.18017320093487388,0.004029433640716054,0.01187139494716359,0.6851800684608917
diego-godin,75.0,76,Diego Godín,0.25,Atlético Madrid,16.02.1986,91,1,79,19,Center Back,360,Spain,7,190,185.0,328.2381082182185,,,,,,,,
diego-ifran,76.0,12,Diego Ifrán,0.375,Real Sociedad,08.06.1987,35,0,21,27,Center Forward,86,Spain,0,30,174.0,12.0,0.054346705341166666,0.0,0.0,0.054346705341166666,0.08723498482560776,0.0,0.0,0.08723498482560776
diego-lopez,89.0,20, Diego López,0.125,Sevilla FC,03.11.1981,82,0,68,0,Goalkeeper,300,Spain,3,150,196.0,113.9175582127124,0.022887202793577772,0.0,0.0011218781182257501,0.05800855395225617,0.030647659077536017,0.0,0.0017842911886138029,0.0865064162692249
diego-lugano,88.0,107,Diego Lugano,0.25,Paris Saint-Germain,02.11.1980,72,1,82,36,Center Back,330,France,4,176,188.0,265.3205500055061,,,,,,,,
diego-perotti,77.0,27,Diego Perotti,0.25,Sevilla FC,26.07.1988,67,0,40,18,Right Midfielder,185,Spain,0,78,179.0,27.0,0.065674046728409,0.0,0.0,0.065674046728409,0.10802533314854668,0.0,0.0,0.10802533314854668
diego-seoane_2,75.0,10, Diego Seoane,0.125,Deportivo La Coruña,26.04.1988,22,0,9,0,Left Fullback,58,Spain,0,27,180.0,10.0,0.06890174793682617,0.0,0.0,0.06890174793682617,0.10958479332692483,0.0,0.0,0.10958479332692483
dimitar-berbatov,79.0,40,Dimitar Berbatov,0.25,Fulham FC,30.01.1981,170,0,129,258,Center Forward,580,England,1,281,188.0,71.3058527375708,0.020788509969902808,0.0,0.00017378841643919516,0.02622910454244388,0.03201738356252698,0.0,0.00017344702756856017,0.037447290665357715
dimitri-foulquier,77.0,5,Dimitri Foulquier,0.75,Stade Rennes,23.03.1993,25,1,7,1,Right Fullback,63,France,0,31,183.0,38.09713905522289,0.028541600940304824,0.0069725811634241035,0.0,0.2593140892799802,0.04342723118201117,0.0070021033986493965,0.0,0.275176821046159
dimitri-payet,70.0,31,Dimitri Payet,0.5,Lille OSC,29.03.1987,109,1,82,55,Right Midfielder,311,France,1,120,174.0,95.4029917927937,0.0325884263476268,0.001631795399642415,0.0003274793501412495,0.09684820590938216,0.04818778668023546,0.0020523656854172737,0.00032886591304811256,0.1264106470069498
diogo-salomao,70.0,6, Diogo Salomão,0.5,Deportivo La Coruña,14.09.1988,23,0,11,11,,79,Spain,0,45,175.0,6.0,0.01512143624035609,0.0,0.0,0.01512143624035609,0.024049890094588272,0.0,0.0,0.024049890094588272
djibril-cisse,78.0,47,Djibril Cissé,1.0,Queens Park Rangers,12.08.1981,167,0,115,222,Center Forward,545,England,3,263,183.0,140.91755821271238,0.029839406723495686,0.0,0.0036878595050472618,0.145290993305356,0.044339597043776005,0.0,0.00432382913559249,0.17970075522505255
djibril-sidibe_2,71.0,15,Djibril Sidibé,0.75,Lille OSC,29.07.1992,17,1,21,3,Right Fullback,80,France,0,42,182.0,48.09713905522289,0.07678334760136371,0.009404294540044445,0.0,0.38803859170948807,0.07930696249642637,0.011828107502799551,0.0,0.4707834812767082
djiby-fall,75.0,19,Djiby Fall,1.0,SpVgg Greuther Fürth,20.04.1985,45,0,32,53,Center Forward,123,Germany,1,46,187.0,50.3058527375708,0.056039753013154135,0.0,0.0008980343664139178,0.08415348464138592,0.11255101017463663,0.0,0.0015285670519906967,0.16040410520376008
dominguez_4,83.0,46, Domínguez,0.25,Bor. Mönchengladbach,16.05.1989,59,3,48,10,Left Fullback,196,Germany,0,89,189.0,145.29141716566866,0.1017285769021656,0.005965904919387911,0.0,0.29918296160938557,0.14020257299217617,0.007152794682502568,0.0,0.3769396132324226
dominik-reinhardt,78.0,27,Dominik Reinhardt,0.0,FC Augsburg,19.12.1984,76,0,58,2,Right Fullback,215,Germany,0,81,188.0,27.0,0.03857280808296626,0.0,0.0,0.03857280808296626,0.03849703590172155,0.0,0.0,0.03849703590172155
doni,89.0,12, Doni,0.25,Liverpool FC,22.10.1979,53,0,47,0,Goalkeeper,218,England,2,118,194.0,74.6117054751416,0.015181691472162607,0.0,0.005692680305256362,0.19339590279058788,0.025468699428772373,0.0,0.006663133292811046,0.2340637690643202
dorado_2,69.0,19, Dorado,0.25,Real Betis,10.07.1982,61,0,50,3,Left Fullback,191,Spain,2,80,180.0,81.6117054751416,0.04251089071998127,0.0,0.003945531671329835,0.16602912419405466,0.06761145127934794,0.0,0.006275171323141802,0.2640610406246525
dorge-kouemaha,86.0,31,Dorge Kouemaha,0.875,Eintracht Frankfurt,28.06.1983,56,1,58,56,Center Forward,188,Germany,2,74,188.0,126.7088445303645,0.05999831880166001,0.0034530518732858893,0.0016357572797033731,0.2254932333295042,0.06302000674590116,0.0037719298245614,0.0013179182126636338,0.2291186461417625
du-ri-cha,81.0,24,Du-Ri Cha,0.375,Fortuna Düsseldorf,25.07.1980,140,0,78,22,Right Fullback,368,Germany,2,150,181.0,86.6117054751416,,,,,,,,
duda_2,71.0,77, Duda,0.25,Málaga CF,27.06.1980,119,3,80,37,Left Midfielder,330,Spain,5,131,175.0,332.8206808535226,0.08259248561102348,0.001444443195511131,0.0031076094477629763,0.22768578664777733,0.11707072497220969,0.002297314854736347,0.004942497821479671,0.3478343831280547
dudu-aouate,87.0,29,Dudu Aouate,0.25,RCD Mallorca,17.10.1977,157,1,101,0,Goalkeeper,393,Spain,3,135,188.0,156.01469726793528,0.017278148073266615,0.00021443106909401277,0.004503052450974268,0.165347099884589,0.023669983941022387,0.0003410419197359675,0.007161880314455317,0.2591662662306292
dusan-djuric,73.0,16,Dusan Đurić,0.25,Valenciennes FC,16.09.1984,57,0,34,33,Attacking Midfielder,171,France,0,80,180.0,16.0,0.037167927202064244,0.0,0.0,0.037167927202064244,0.047107938693200235,0.0,0.0,0.047107938693200235
echaide,78.0,24, Echaide,0.0,CA Osasuna,05.01.1988,42,2,28,3,Center Back,103,Spain,1,33,179.0,121.50013084801658,0.08256121726465313,0.0038681683052253285,0.0018132038930743727,0.267350415611478,0.13130949796892924,0.006152128748178237,0.0028838103507085487,0.42520750079538283
eden-hazard,69.0,16,Eden Hazard,0.25,Chelsea FC,07.01.1991,74,0,85,76,Right Winger,327,England,1,168,170.0,47.3058527375708,0.014806656832719062,0.0,0.0004714136850313478,0.029564664234786014,0.02244145398867246,0.0,0.0005143514607236999,0.03854366507344303
edgar-prib,77.0,32,Edgar Prib,0.0,SpVgg Greuther Fürth,15.12.1989,68,1,46,18,Center Midfielder,186,Germany,1,72,180.0,96.4029917927937,0.054791012441344836,0.0006188017695638254,0.000450037650591873,0.0893603930720083,0.05468338132161,0.0006175861992652593,0.00044915359946564313,0.08918485407870014
edin-dzeko,84.0,41,Edin Džeko,0.25,Manchester City,17.03.1986,102,0,70,182,Center Forward,360,England,0,188,193.0,41.0,,,,,,,,
edu-oriol,72.0,7, Edu Oriol,0.0,Real Zaragoza,05.11.1986,27,0,17,8,Left Winger,76,Spain,0,32,176.0,7.0,0.03789596136525439,0.0,0.0,0.03789596136525439,0.06027163632980866,0.0,0.0,0.06027163632980866
edu_4,90.0,28, Edu,0.0,SpVgg Greuther Fürth,30.11.1981,81,0,60,51,Center Forward,221,Germany,0,80,185.0,28.0,0.04842843681606846,0.0,0.0,0.04842843681606846,0.045557938682848804,0.0,0.0,0.045557938682848804
ekiza,73.0,8, Ekiza,0.125,Athletic Bilbao,06.03.1988,28,1,19,0,Center Back,82,Spain,0,35,180.0,41.09713905522289,0.037067811969364546,0.0025509903047391176,0.0,0.12149829281384052,0.058777610933422535,0.004057222838238234,0.0,0.19306007938861947
eliseu,74.0,49, Eliseu,0.75,Málaga CF,01.10.1983,86,1,52,27,Left Midfielder,222,Spain,3,84,177.0,176.01469726793528,0.08158584371747643,0.0011381341359605294,0.0018291441470794222,0.17651774478311602,0.142136448348414,0.001810145573983212,0.0029091625296158766,0.2931209018625462
eljero-elia,77.0,28,Eljero Elia,0.75,Werder Bremen,13.02.1987,101,1,76,36,Left Winger,296,Germany,0,119,176.0,61.09713905522289,0.04030809085991319,0.0004901666660381639,0.0,0.056531205166013294,0.06544941033933971,0.000618998348127575,0.0,0.08593648474227132
