,playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour
375,kevin-vogt,Kevin Vogt,FC Augsburg,Germany,23.09.1991,194.0,80.0,Defensive Midfielder,156.0,67.0,39.0,50.0,7.0,24.0,1.0,2.0,0.0
376,kevin-volland,Kevin Volland,1899 Hoffenheim,Germany,30.07.1992,179.0,74.0,Left Winger,180.0,73.0,40.0,67.0,58.0,25.0,0.0,1.0,0.25
377,kyle-walker,Kyle Walker,Tottenham Hotspur,England,28.05.1990,178.0,73.0,Right Fullback,226.0,113.0,59.0,54.0,5.0,32.0,0.0,0.0,0.25
378,lasse-sobiech,Lasse Sobiech,SpVgg Greuther Fürth,Germany,18.01.1991,196.0,88.0,Center Back,153.0,62.0,32.0,59.0,12.0,10.0,0.0,0.0,0.0
379,leighton-baines,Leighton Baines,Everton FC,England,11.12.1984,170.0,74.0,Left Fullback,460.0,205.0,118.0,137.0,34.0,52.0,1.0,0.0,0.25
380,leon-osman,Leon Osman,Everton FC,England,17.05.1981,172.0,68.0,Right Midfielder,406.0,184.0,101.0,121.0,56.0,42.0,0.0,0.0,0.0
382,ludovic-obraniak,Ludovic Obraniak,Girondins Bordeaux,France,10.11.1984,171.0,68.0,Attacking Midfielder,379.0,144.0,117.0,118.0,48.0,48.0,0.0,4.0,0.25
383,lukasz-piszczek,?ukasz Piszczek,Borussia Dortmund,Germany,03.06.1985,184.0,78.0,Right Fullback,286.0,137.0,67.0,82.0,23.0,10.0,0.0,0.0,0.0
384,marc-hornschuh,Marc Hornschuh,Borussia Dortmund,Germany,02.03.1991,188.0,76.0,Center Back,169.0,76.0,39.0,54.0,6.0,13.0,0.0,1.0,0.125
385,marvin-plattenhardt,Marvin Plattenhardt,1. FC Nürnberg,Germany,26.01.1992,181.0,76.0,Left Fullback,136.0,48.0,36.0,52.0,5.0,23.0,0.0,0.0,0.125
386,mata, Mata,Chelsea FC,England,28.04.1988,170.0,61.0,Attacking Midfielder,370.0,204.0,77.0,89.0,94.0,31.0,0.0,0.0,0.0
387,matthias-ostrzolek,Matthias Ostrzolek,FC Augsburg,Germany,05.06.1990,178.0,71.0,Left Fullback,157.0,71.0,34.0,52.0,1.0,25.0,2.0,0.0,0.0
388,maximilian-beister,Maximilian Beister,Hamburger SV,Germany,06.09.1990,180.0,81.0,Right Midfielder,178.0,85.0,43.0,50.0,60.0,30.0,1.0,1.0,0.0
389,moritz-leitner,Moritz Leitner,Borussia Dortmund,Germany,08.12.1992,176.0,66.0,Attacking Midfielder,138.0,72.0,32.0,34.0,9.0,15.0,1.0,1.0,0.25
390,niklas-dams,Niklas Dams,Bor. Mönchengladbach,Germany,28.05.1990,185.0,77.0,Center Back,145.0,71.0,33.0,41.0,10.0,6.0,0.0,0.0,0.125
391,oliver-baumann,Oliver Baumann,SC Freiburg,Germany,02.06.1990,187.0,80.0,Goalkeeper,214.0,91.0,51.0,72.0,0.0,1.0,0.0,0.0,0.25
392,patrick-herrmann_2,Patrick Herrmann,Bor. Mönchengladbach,Germany,12.02.1991,179.0,69.0,Left Midfielder,206.0,94.0,46.0,66.0,41.0,22.0,0.0,0.0,0.125
393,peniel-mlapa,Peniel Mlapa,Bor. Mönchengladbach,Germany,20.02.1991,195.0,89.0,Center Forward,182.0,64.0,46.0,72.0,41.0,14.0,0.0,0.0,0.875
394,phil-bardsley,Phil Bardsley,Sunderland AFC,England,28.06.1985,180.0,73.0,Right Fullback,278.0,100.0,63.0,115.0,12.0,56.0,3.0,0.0,0.375
395,sam-johnstone,Sam Johnstone,Manchester United,England,25.03.1993,191.0,85.0,Goalkeeper,48.0,11.0,18.0,19.0,0.0,4.0,0.0,0.0,0.0
396,scott-parker,Scott Parker,Tottenham Hotspur,England,13.10.1980,175.0,69.0,Center Midfielder,465.0,180.0,113.0,172.0,30.0,101.0,3.0,2.0,0.0
397,sebastian-polter,Sebastian Polter,1. FC Nürnberg,Germany,01.04.1991,190.0,88.0,Center Forward,152.0,66.0,37.0,49.0,44.0,19.0,1.0,2.0,0.0
398,steven-naismith,Steven Naismith,Everton FC,England,14.09.1986,175.0,72.0,Center Forward,324.0,165.0,68.0,91.0,76.0,43.0,0.0,0.0,0.0
399,tolgay-arslan,Tolgay Arslan,Hamburger SV,Germany,16.08.1990,180.0,77.0,Attacking Midfielder,156.0,63.0,32.0,61.0,41.0,29.0,0.0,1.0,0.25
401,wojciech-szczesny,Wojciech Szcz?sny,Arsenal FC,England,18.04.1990,195.0,75.0,Goalkeeper,203.0,105.0,47.0,51.0,0.0,11.0,0.0,2.0,0.125
402,xabi-alonso, Xabi Alonso,Real Madrid,Spain,25.11.1981,183.0,77.0,Defensive Midfielder,673.0,427.0,125.0,121.0,50.0,163.0,3.0,1.0,0.25
403,xherdan-shaqiri,Xherdan Shaqiri,Bayern München,Germany,10.10.1991,169.0,72.0,Left Midfielder,224.0,150.0,39.0,35.0,47.0,23.0,0.0,1.0,0.25
404,bryan-ruiz,Bryan Ruiz,Fulham FC,England,18.08.1985,186.0,70.0,Right Winger,320.0,147.0,78.0,95.0,88.0,15.0,0.0,0.0,0.125
405,emmerson-boyce,Emmerson Boyce,Wigan Athletic,England,24.09.1979,183.0,78.0,Center Back,358.0,120.0,88.0,150.0,14.0,33.0,1.0,0.0,1.0
406,aaron-hunt,Aaron Hunt,Werder Bremen,Germany,04.09.1986,183.0,73.0,Attacking Midfielder,336.0,141.0,73.0,122.0,62.0,42.0,0.0,1.0,0.125
407,aaron-lennon,Aaron Lennon,Tottenham Hotspur,England,16.04.1987,165.0,63.0,Right Midfielder,412.0,200.0,97.0,115.0,31.0,11.0,0.0,0.0,0.25
408,aaron-ramsey,Aaron Ramsey,Arsenal FC,England,26.12.1990,178.0,76.0,Center Midfielder,260.0,150.0,42.0,68.0,39.0,31.0,0.0,1.0,0.0
409,adam-johnson,Adam Johnson,Sunderland AFC,England,14.07.1987,175.0,62.0,Left Midfielder,339.0,145.0,68.0,126.0,55.0,21.0,0.0,0.0,0.0
410,adil-rami,Adil Rami,Valencia CF,Spain,27.12.1985,190.0,88.0,Center Back,286.0,144.0,71.0,71.0,20.0,59.0,2.0,3.0,0.125
411,adriano_24, Adriano,FC Barcelona,Spain,26.10.1984,172.0,67.0,Left Midfielder,373.0,229.0,59.0,85.0,33.0,58.0,1.0,3.0,0.25
412,alain-traore_2,Alain Traoré,FC Lorient,France,31.12.1988,176.0,66.0,Left Midfielder,130.0,39.0,42.0,49.0,31.0,17.0,0.0,1.0,1.0
413,alejandro-alonso,Alejandro Alonso,AS Saint-Étienne,France,03.03.1982,170.0,68.0,Right Midfielder,175.0,77.0,52.0,46.0,11.0,39.0,2.0,1.0,0.125
414,alejandro-dominguez_2,Alejandro Domínguez,Rayo Vallecano,Spain,10.06.1981,175.0,73.0,Right Winger,197.0,104.0,41.0,52.0,45.0,36.0,0.0,1.0,0.25
415,alex_4, Alex,Paris Saint-Germain,France,17.06.1982,188.0,92.0,Center Back,371.0,243.0,81.0,47.0,38.0,48.0,0.0,2.0,0.5
416,alexander-manninger,Alexander Manninger,FC Augsburg,Germany,04.06.1977,188.0,83.0,Goalkeeper,322.0,115.0,96.0,111.0,0.0,11.0,0.0,1.0,0.125
417,alou-diarra,Alou Diarra,West Ham United,England,15.07.1981,190.0,79.0,Defensive Midfielder,420.0,195.0,109.0,116.0,24.0,91.0,5.0,2.0,1.0
418,anatoliy-tymoshchuk,Anatoliy Tymoshchuk,Bayern München,Germany,30.03.1979,181.0,75.0,Defensive Midfielder,406.0,229.0,83.0,94.0,23.0,62.0,2.0,2.0,0.25
419,anderson_7, Anderson,Manchester United,England,13.04.1988,176.0,69.0,Center Midfielder,220.0,148.0,27.0,45.0,13.0,19.0,0.0,0.0,0.75
420,andre-luiz_3, Andre Luiz,AS Nancy,France,27.01.1980,184.0,76.0,Center Back,270.0,89.0,82.0,99.0,21.0,53.0,2.0,3.0,0.75
421,andreas-ivanschitz,Andreas Ivanschitz,1. FSV Mainz 05,Germany,15.10.1983,184.0,82.0,Attacking Midfielder,460.0,188.0,122.0,150.0,76.0,62.0,0.0,1.0,0.25
422,andreas-weimann,Andreas Weimann,Aston Villa,England,05.08.1991,179.0,72.0,Center Forward,148.0,50.0,37.0,61.0,32.0,12.0,0.0,0.0,0.0
423,andrey-arshavin,Andrey Arshavin,Arsenal FC,England,29.05.1981,172.0,69.0,Center Forward,358.0,188.0,92.0,78.0,85.0,34.0,0.0,2.0,0.0
424,andriy-voronin,Andriy Voronin,Fortuna Düsseldorf,Germany,21.07.1979,174.0,81.0,Center Forward,462.0,198.0,111.0,153.0,121.0,61.0,2.0,1.0,0.0
425,anthony-le-tallec,Anthony Le Tallec,Valenciennes FC,France,03.10.1984,184.0,73.0,Right Winger,313.0,84.0,81.0,148.0,46.0,27.0,0.0,3.0,0.25
426,anthony-reveillere,Anthony Réveillère,Olympique Lyon,France,10.11.1979,180.0,77.0,Right Fullback,563.0,285.0,138.0,140.0,9.0,91.0,1.0,1.0,0.25
427,antolin-alcaraz,Antolín Alcaraz,Wigan Athletic,England,30.07.1982,184.0,78.0,Center Back,216.0,87.0,60.0,69.0,14.0,43.0,3.0,3.0,0.0
428,arjen-robben,Arjen Robben,Bayern München,Germany,23.01.1984,180.0,80.0,Right Winger,521.0,347.0,80.0,94.0,170.0,50.0,2.0,2.0,0.25
429,arnold-mvuemba,Arnold Mvuemba,Olympique Lyon,France,28.01.1985,172.0,67.0,Defensive Midfielder,219.0,78.0,60.0,81.0,15.0,10.0,0.0,0.0,0.75
430,arouna-kone,Arouna Koné,Wigan Athletic,England,11.11.1983,181.0,81.0,Center Forward,328.0,160.0,61.0,107.0,95.0,12.0,0.0,0.0,1.0
431,ashley-cole,Ashley Cole,Chelsea FC,England,20.12.1980,170.0,67.0,Left Fullback,662.0,404.0,146.0,112.0,16.0,106.0,1.0,3.0,0.5
432,augusto-fernandez,Augusto Fernández,Celta Vigo,Spain,10.04.1986,177.0,71.0,Right Midfielder,273.0,116.0,65.0,92.0,31.0,50.0,3.0,1.0,0.5
433,bafetimbi-gomis,Bafetimbi Gomis,Olympique Lyon,France,06.08.1985,184.0,77.0,Center Forward,372.0,158.0,102.0,112.0,129.0,19.0,1.0,0.0,1.0
434,benoit-cheyrou,Benoît Cheyrou,Olympique Marseille,France,03.05.1981,182.0,78.0,Defensive Midfielder,488.0,209.0,131.0,148.0,34.0,80.0,2.0,0.0,0.125
435,benoit-pedretti,Benoît Pedretti,Lille OSC,France,12.11.1980,177.0,69.0,Defensive Midfielder,438.0,194.0,119.0,125.0,30.0,83.0,1.0,1.0,0.25
436,benoit-tremoulinas,Benoît Trémoulinas,Girondins Bordeaux,France,28.12.1985,173.0,64.0,Left Fullback,225.0,114.0,62.0,49.0,6.0,21.0,0.0,2.0,0.25
437,bernard-mendy,Bernard Mendy,Stade Brest,France,20.08.1981,180.0,77.0,Right Fullback,381.0,119.0,108.0,154.0,10.0,84.0,3.0,3.0,0.25
439,blaise-matuidi,Blaise Matuidi,Paris Saint-Germain,France,09.04.1987,175.0,70.0,Defensive Midfielder,364.0,167.0,89.0,108.0,21.0,59.0,2.0,0.0,0.75
440,bnel-nicoli,B?nel Nicoli??,AS Saint-Étienne,France,07.01.1985,175.0,71.0,Right Midfielder,249.0,116.0,66.0,67.0,28.0,53.0,1.0,0.0,0.25
441,bosingwa, Bosingwa,Queens Park Rangers,England,24.08.1982,183.0,75.0,Right Fullback,314.0,158.0,78.0,78.0,6.0,41.0,0.0,2.0,0.5
442,brandao, Brandão,AS Saint-Étienne,France,16.06.1980,189.0,78.0,Center Forward,278.0,144.0,63.0,71.0,84.0,61.0,0.0,2.0,0.5
443,brou-angoua,Brou Angoua,Valenciennes FC,France,28.11.1986,178.0,69.0,Center Back,128.0,34.0,44.0,50.0,3.0,25.0,0.0,1.0,1.0
445,busquets_2, Busquets,FC Barcelona,Spain,16.07.1988,189.0,73.0,Defensive Midfielder,340.0,252.0,54.0,34.0,12.0,75.0,1.0,1.0,0.25
446,cacau, Cacau,VfB Stuttgart,Germany,27.03.1981,178.0,74.0,Left Winger,414.0,183.0,85.0,146.0,123.0,79.0,1.0,2.0,0.75
447,camel-meriem,Camel Meriem,OGC Nice,France,18.10.1979,174.0,70.0,Attacking Midfielder,381.0,126.0,114.0,141.0,27.0,22.0,0.0,0.0,0.25
448,capdevila, Capdevila,Espanyol Barcelona,Spain,03.02.1978,182.0,79.0,Left Fullback,574.0,296.0,121.0,157.0,47.0,91.0,3.0,2.0,0.25
449,carlos-vela,Carlos Vela,Real Sociedad,Spain,01.03.1989,177.0,75.0,Right Winger,265.0,120.0,60.0,85.0,70.0,33.0,0.0,1.0,0.375
450,carlton-cole,Carlton Cole,West Ham United,England,12.11.1983,190.0,88.0,Center Forward,365.0,130.0,90.0,145.0,81.0,41.0,1.0,2.0,1.0
452,cedric-carrasso,Cédric Carrasso,Girondins Bordeaux,France,30.12.1981,192.0,87.0,Goalkeeper,314.0,136.0,98.0,80.0,0.0,9.0,1.0,2.0,0.25
453,cheik-tiote,Cheik Tioté,Newcastle United,England,21.06.1986,180.0,76.0,Defensive Midfielder,261.0,121.0,57.0,83.0,5.0,82.0,2.0,4.0,1.0
454,christian-benteke,Christian Benteke,Aston Villa,England,03.12.1990,190.0,83.0,Center Forward,216.0,92.0,46.0,78.0,84.0,21.0,1.0,3.0,0.75
455,christian-fuchs,Christian Fuchs,FC Schalke 04,Germany,07.04.1986,186.0,84.0,Left Fullback,411.0,162.0,96.0,153.0,25.0,66.0,2.0,1.0,0.0
456,christian-gentner,Christian Gentner,VfB Stuttgart,Germany,14.08.1985,189.0,80.0,Defensive Midfielder,377.0,170.0,84.0,123.0,53.0,28.0,0.0,0.0,0.0
457,christian-traesch,Christian Träsch,VfL Wolfsburg,Germany,01.09.1987,180.0,75.0,Defensive Midfielder,276.0,115.0,65.0,96.0,10.0,29.0,1.0,1.0,0.25
458,christophe-jallet,Christophe Jallet,Paris Saint-Germain,France,31.10.1983,178.0,65.0,Right Fullback,274.0,117.0,87.0,70.0,12.0,24.0,1.0,1.0,0.25
459,ciprian-marica,Ciprian Marica,FC Schalke 04,Germany,02.10.1985,185.0,80.0,Right Winger,316.0,150.0,69.0,97.0,78.0,36.0,1.0,2.0,0.125
460,clemens-fritz,Clemens Fritz,Werder Bremen,Germany,07.12.1980,183.0,81.0,Right Fullback,419.0,178.0,103.0,138.0,17.0,76.0,2.0,0.0,0.25
461,clement-chantome,Clément Chantôme,Paris Saint-Germain,France,11.09.1987,179.0,71.0,Defensive Midfielder,231.0,102.0,67.0,62.0,9.0,36.0,2.0,0.0,0.25
462,cristian-molinaro,Cristian Molinaro,VfB Stuttgart,Germany,30.07.1983,178.0,72.0,Left Fullback,270.0,113.0,68.0,89.0,3.0,38.0,1.0,1.0,0.25
463,cristian-rodriguez,Cristian Rodríguez,Atlético Madrid,Spain,30.09.1985,178.0,81.0,Left Midfielder,341.0,191.0,80.0,70.0,34.0,37.0,1.0,1.0,0.25
464,cristiano-ronaldo, Cristiano Ronaldo,Real Madrid,Spain,05.02.1985,185.0,80.0,Left Winger,650.0,435.0,118.0,97.0,420.0,93.0,3.0,5.0,0.25
465,cuellar, Cuéllar,Sunderland AFC,England,23.08.1981,190.0,84.0,Center Back,291.0,130.0,73.0,88.0,13.0,50.0,2.0,2.0,0.25
466,cyril-jeunechamp,Cyril Jeunechamp,Montpellier HSC,France,18.12.1975,177.0,68.0,Left Fullback,409.0,164.0,105.0,140.0,10.0,107.0,6.0,13.0,0.0
467,damien-gregorini,Damien Gregorini,AS Nancy,France,02.03.1979,194.0,90.0,Goalkeeper,261.0,84.0,87.0,90.0,0.0,5.0,0.0,0.0,0.0
468,damien-perquis,Damien Perquis,Real Betis,Spain,10.04.1984,184.0,78.0,Center Back,233.0,71.0,68.0,94.0,13.0,42.0,3.0,1.0,0.0
469,daniel-agger,Daniel Agger,Liverpool FC,England,12.12.1984,187.0,75.0,Center Back,302.0,161.0,67.0,74.0,23.0,23.0,0.0,1.0,0.25
470,daniel-congre,Daniel Congré,Montpellier HSC,France,05.04.1985,184.0,79.0,Center Back,287.0,100.0,87.0,100.0,7.0,26.0,0.0,3.0,0.375
471,daniel-van-buyten,Daniel Van Buyten,Bayern München,Germany,07.02.1978,197.0,95.0,Center Back,477.0,266.0,88.0,123.0,60.0,42.0,1.0,4.0,0.25
472,david-bellion,David Bellion,Girondins Bordeaux,France,27.11.1982,181.0,72.0,Center Forward,263.0,111.0,55.0,97.0,47.0,8.0,0.0,0.0,0.5
473,david-ducourtioux,David Ducourtioux,Valenciennes FC,France,11.04.1978,177.0,71.0,Right Fullback,276.0,81.0,84.0,111.0,7.0,41.0,0.0,0.0,0.0
474,david-rozehnal,David Rozehnal,Lille OSC,France,05.07.1980,199.0,77.0,Center Back,390.0,181.0,97.0,112.0,7.0,41.0,1.0,1.0,0.25
475,david-sauget,David Sauget,FC Sochaux,France,23.11.1979,175.0,69.0,Left Fullback,224.0,71.0,55.0,98.0,3.0,18.0,0.0,1.0,0.0
476,david-villa, David Villa,FC Barcelona,Spain,03.12.1981,175.0,69.0,Center Forward,554.0,340.0,107.0,107.0,281.0,62.0,2.0,5.0,0.25
477,dejan-lovren,Dejan Lovren,Olympique Lyon,France,05.07.1989,188.0,84.0,Center Back,213.0,110.0,49.0,54.0,12.0,39.0,5.0,2.0,0.0
478,diego, Diego,VfL Wolfsburg,Germany,28.02.1985,173.0,73.0,Attacking Midfielder,400.0,197.0,86.0,117.0,109.0,83.0,1.0,1.0,0.25
479,diego-benaglio,Diego Benaglio,VfL Wolfsburg,Germany,08.09.1983,194.0,89.0,Goalkeeper,371.0,157.0,87.0,127.0,0.0,20.0,0.0,2.0,0.25
480,dimitar-berbatov,Dimitar Berbatov,Fulham FC,England,30.01.1981,188.0,79.0,Center Forward,580.0,281.0,129.0,170.0,258.0,40.0,0.0,1.0,0.25
481,dimitri-payet,Dimitri Payet,Lille OSC,France,29.03.1987,174.0,70.0,Right Midfielder,311.0,120.0,82.0,109.0,55.0,31.0,1.0,1.0,0.5
482,doni, Doni,Liverpool FC,England,22.10.1979,194.0,89.0,Goalkeeper,218.0,118.0,47.0,53.0,0.0,12.0,0.0,2.0,0.25
483,duda_2, Duda,Málaga CF,Spain,27.06.1980,175.0,71.0,Left Midfielder,330.0,131.0,80.0,119.0,37.0,77.0,3.0,5.0,0.25
484,dudu-aouate,Dudu Aouate,RCD Mallorca,Spain,17.10.1977,188.0,87.0,Goalkeeper,393.0,135.0,101.0,157.0,0.0,29.0,1.0,3.0,0.25
485,eden-hazard,Eden Hazard,Chelsea FC,England,07.01.1991,170.0,69.0,Right Winger,327.0,168.0,85.0,74.0,76.0,16.0,0.0,1.0,0.25
486,emanuel-pogatetz,Emanuel Pogatetz,VfL Wolfsburg,Germany,16.01.1983,189.0,90.0,Center Back,429.0,152.0,114.0,163.0,13.0,79.0,2.0,3.0,0.25
487,emir-spahic,Emir Spahi?,Sevilla FC,Spain,18.08.1980,185.0,80.0,Center Back,267.0,112.0,66.0,89.0,13.0,84.0,5.0,3.0,0.25
488,etienne-didot,Etienne Didot,Toulouse FC,France,24.07.1983,175.0,65.0,Defensive Midfielder,347.0,133.0,94.0,120.0,14.0,44.0,3.0,0.0,0.125
489,fabien-audard,Fabien Audard,FC Lorient,France,28.03.1978,188.0,89.0,Goalkeeper,240.0,76.0,79.0,85.0,0.0,11.0,0.0,5.0,0.125
490,fabien-camus,Fabien Camus,ESTAC Troyes,France,28.02.1985,176.0,68.0,Left Midfielder,267.0,104.0,65.0,98.0,36.0,28.0,3.0,1.0,0.25
491,fabio-coentrao, Fábio Coentrão,Real Madrid,Spain,11.03.1988,179.0,70.0,Left Fullback,242.0,149.0,38.0,55.0,16.0,51.0,5.0,1.0,0.375
492,fabrice-abriel,Fabrice Abriel,OGC Nice,France,06.07.1979,176.0,69.0,Right Midfielder,259.0,105.0,79.0,75.0,13.0,16.0,0.0,0.0,0.5
493,fabrice-ehret,Fabrice Ehret,Évian Thonon Gaillard,France,28.09.1979,184.0,73.0,Left Midfielder,305.0,102.0,82.0,121.0,14.0,35.0,2.0,4.0,0.125
494,fernando-navarro, Fernando Navarro,Sevilla FC,Spain,25.06.1982,176.0,69.0,Left Fullback,387.0,170.0,85.0,132.0,3.0,117.0,4.0,3.0,0.125
495,florent-balmont,Florent Balmont,Lille OSC,France,02.02.1980,170.0,64.0,Defensive Midfielder,410.0,176.0,127.0,107.0,14.0,86.0,0.0,4.0,0.0
496,florian-marange,Florian Marange,Girondins Bordeaux,France,03.03.1986,176.0,70.0,Left Fullback,146.0,57.0,43.0,46.0,2.0,15.0,1.0,0.0,0.0
497,franck-beria,Franck Béria,Lille OSC,France,23.05.1983,180.0,72.0,Right Fullback,292.0,129.0,92.0,71.0,3.0,52.0,3.0,0.0,0.625
498,francois-clerc,François Clerc,AS Saint-Étienne,France,18.04.1983,186.0,77.0,Right Fullback,247.0,122.0,67.0,58.0,9.0,30.0,0.0,0.0,0.0
499,frederic-piquionne,Frédéric Piquionne,West Ham United,England,08.12.1978,188.0,77.0,Center Forward,389.0,132.0,118.0,139.0,82.0,32.0,3.0,4.0,0.5
500,gabriel-obertan,Gabriel Obertan,Newcastle United,England,26.02.1989,186.0,79.0,Right Winger,168.0,85.0,38.0,45.0,7.0,4.0,0.0,0.0,0.25
501,gael-danic,Gaël Danic,Valenciennes FC,France,19.11.1981,176.0,65.0,Left Midfielder,267.0,87.0,78.0,102.0,33.0,20.0,1.0,1.0,0.0
502,gareth-bale,Gareth Bale,Tottenham Hotspur,England,16.07.1989,183.0,74.0,Left Winger,336.0,162.0,78.0,96.0,93.0,32.0,0.0,1.0,0.25
503,garry-bocaly,Garry Bocaly,Montpellier HSC,France,19.04.1988,180.0,74.0,Right Fullback,137.0,61.0,35.0,41.0,7.0,29.0,0.0,3.0,0.5
504,gary-caldwell,Gary Caldwell,Wigan Athletic,England,12.04.1982,180.0,74.0,Center Back,437.0,174.0,101.0,162.0,17.0,69.0,2.0,7.0,0.0
505,georg-niedermeier,Georg Niedermeier,VfB Stuttgart,Germany,26.02.1986,188.0,74.0,Right Fullback,226.0,90.0,66.0,70.0,9.0,47.0,3.0,1.0,0.0
506,giorgios-karagounis,Giorgios Karagounis,Fulham FC,England,06.03.1977,176.0,83.0,Attacking Midfielder,441.0,223.0,103.0,115.0,37.0,66.0,1.0,1.0,0.0
507,glen-johnson,Glen Johnson,Liverpool FC,England,23.08.1984,178.0,70.0,Right Fullback,416.0,219.0,93.0,104.0,17.0,59.0,2.0,0.0,0.625
508,gomes, Gomes,Tottenham Hotspur,England,15.02.1981,191.0,82.0,Goalkeeper,332.0,188.0,68.0,76.0,0.0,12.0,0.0,1.0,0.375
509,gonzalo-castro,Gonzalo Castro,Bayer Leverkusen,Germany,11.06.1987,171.0,74.0,Right Midfielder,371.0,177.0,78.0,116.0,34.0,76.0,3.0,1.0,0.0
510,granero_2, Granero,Queens Park Rangers,England,02.07.1987,179.0,77.0,Center Midfielder,213.0,112.0,42.0,59.0,20.0,47.0,0.0,1.0,0.0
511,gregory-bourillon,Gregory Bourillon,FC Lorient,France,01.07.1984,187.0,76.0,Center Back,285.0,105.0,83.0,97.0,5.0,36.0,2.0,2.0,0.25
512,gregory-pujol,Grégory Pujol,Valenciennes FC,France,25.01.1980,183.0,70.0,Center Forward,310.0,94.0,97.0,119.0,76.0,15.0,0.0,1.0,0.25
513,guillaume-hoarau,Guillaume Hoarau,Paris Saint-Germain,France,05.03.1984,191.0,80.0,Center Forward,175.0,71.0,56.0,48.0,52.0,15.0,1.0,0.0,0.5
514,hanno-balitsch,Hanno Balitsch,1. FC Nürnberg,Germany,02.01.1981,182.0,80.0,Defensive Midfielder,455.0,181.0,103.0,171.0,24.0,104.0,1.0,0.0,0.0
515,hatem-ben-arfa,Hatem Ben Arfa,Newcastle United,England,07.03.1987,177.0,69.0,Left Midfielder,261.0,123.0,64.0,74.0,39.0,15.0,0.0,1.0,0.25
516,hedwiges-maduro,Hedwiges Maduro,Sevilla FC,Spain,13.02.1985,183.0,84.0,Defensive Midfielder,265.0,140.0,57.0,68.0,15.0,42.0,3.0,0.0,0.375
517,heiko-westermann,Heiko Westermann,Hamburger SV,Germany,14.08.1983,190.0,87.0,Center Back,451.0,194.0,101.0,156.0,41.0,44.0,0.0,0.0,0.25
518,helder-postiga, Hélder Postiga,Real Zaragoza,Spain,02.08.1982,182.0,74.0,Center Forward,394.0,172.0,95.0,127.0,96.0,58.0,2.0,1.0,0.25
519,henrique, Henrique,Girondins Bordeaux,France,02.05.1983,188.0,87.0,Center Back,184.0,79.0,53.0,52.0,12.0,46.0,1.0,1.0,0.75
520,hilario, Hilário,Chelsea FC,England,21.10.1975,189.0,85.0,Goalkeeper,53.0,31.0,9.0,13.0,0.0,2.0,0.0,0.0,0.125
521,ibrahim-afellay,Ibrahim Afellay,FC Schalke 04,Germany,02.04.1986,180.0,76.0,Attacking Midfielder,296.0,196.0,61.0,39.0,49.0,32.0,0.0,0.0,0.5
522,igor-de-camargo,Igor de Camargo,Bor. Mönchengladbach,Germany,12.05.1983,187.0,83.0,Center Forward,357.0,166.0,90.0,101.0,95.0,43.0,0.0,1.0,0.5
523,ilan, Ilan,SC Bastia,France,18.09.1980,180.0,69.0,Right Winger,274.0,94.0,71.0,109.0,75.0,21.0,1.0,3.0,0.25
524,ivan-klasnic,Ivan Klasni?,1. FSV Mainz 05,Germany,29.01.1980,186.0,82.0,Center Forward,475.0,225.0,102.0,148.0,152.0,38.0,2.0,1.0,0.0
525,ivan-perisic,Ivan Periši?,Borussia Dortmund,Germany,02.02.1989,187.0,80.0,Attacking Midfielder,249.0,123.0,59.0,67.0,67.0,28.0,3.0,0.0,0.125
526,ivica-olic,Ivica Oli?,VfL Wolfsburg,Germany,14.09.1979,183.0,85.0,Left Winger,383.0,204.0,92.0,87.0,122.0,26.0,0.0,0.0,0.0
527,jack-wilshere,Jack Wilshere,Arsenal FC,England,01.01.1992,170.0,65.0,Attacking Midfielder,165.0,93.0,28.0,44.0,11.0,25.0,1.0,1.0,0.0
528,james-collins,James Collins,West Ham United,England,23.08.1983,188.0,83.0,Center Back,335.0,117.0,93.0,125.0,17.0,54.0,1.0,1.0,0.0
529,jamie-carragher,Jamie Carragher,Liverpool FC,England,28.01.1978,185.0,83.0,Center Back,758.0,408.0,175.0,175.0,4.0,96.0,0.0,3.0,0.25
530,jan-polak,Jan Polák,VfL Wolfsburg,Germany,14.03.1981,181.0,77.0,Defensive Midfielder,324.0,160.0,76.0,88.0,21.0,46.0,3.0,1.0,0.0
531,jan-vertonghen,Jan Vertonghen,Tottenham Hotspur,England,24.04.1987,189.0,79.0,Defensive Midfielder,361.0,200.0,73.0,88.0,40.0,66.0,1.0,1.0,0.0
532,jaroslav-plasil,Jaroslav Plašil,Girondins Bordeaux,France,05.01.1982,183.0,72.0,Right Midfielder,488.0,197.0,146.0,145.0,33.0,51.0,1.0,1.0,0.25
533,jean-pascal-mignot,Jean-Pascal Mignot,AS Saint-Étienne,France,26.02.1981,183.0,75.0,Center Back,266.0,104.0,73.0,89.0,14.0,61.0,3.0,3.0,0.25
534,jeremie-brechet,Jérémie Bréchet,ESTAC Troyes,France,14.08.1979,186.0,76.0,Center Back,358.0,151.0,91.0,116.0,8.0,47.0,0.0,0.0,0.125
535,jeremy-clement,Jèrèmy Clément,AS Saint-Étienne,France,26.08.1984,174.0,61.0,Defensive Midfielder,325.0,154.0,91.0,80.0,6.0,40.0,0.0,1.0,0.25
